Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
"Shapes.hls/Input: ( double: 2.0) Optimise: False",6.462474601455033e-3,6.24283863801509e-3,7.016430633254349e-3,1.5591880755657557e-3,8.095192926075135e-5,2.8615957551402713e-3
"Shapes.hls/Input: ( double: 2.0) Optimise: True",9.228416221328086e-3,8.923042552657422e-3,9.83581139344722e-3,2.0255707627060424e-3,1.0250404755722624e-3,3.084800797020357e-3
"Shapes.hls/Input: ( double: 4.0) Optimise: False",2.4221995608992873e-2,2.3801604049392047e-2,2.486812187928707e-2,2.5452232043698723e-3,1.5244416521661818e-3,3.4966370041476912e-3
"Shapes.hls/Input: ( double: 4.0) Optimise: True",1.7931395309157667e-2,1.7514217632003126e-2,1.8635926978774375e-2,2.6694878978200318e-3,1.7802437530218644e-3,3.586102815345985e-3
"Shapes.hls/Input: ( double: 8.0) Optimise: False",9.714557959336786e-2,9.625529362458735e-2,9.825305773515254e-2,5.075934542516294e-3,4.313064779590554e-3,5.735717051072389e-3
"Shapes.hls/Input: ( double: 8.0) Optimise: True",5.25563986470178e-2,5.189358307618648e-2,5.3446646468825625e-2,3.943325586564331e-3,3.1785842008149666e-3,4.630150277432056e-3
"Shapes.hls/Input: ( double: 16.0) Optimise: False",0.43966471745271235,0.437923668163009,0.441526611583419,9.222914227598444e-3,8.439849978233892e-3,1.0194770192391447e-2
"Shapes.hls/Input: ( double: 16.0) Optimise: True",0.20457186056870968,0.2030808098484949,0.20623090578813105,8.094740486179922e-3,7.347880520909663e-3,8.753469309767043e-3
"Shapes.hls/Input: ( double: 32.0) Optimise: False",1.9807497842480613,1.9748287971188494,1.9868055255581811,3.0600148855215153e-2,2.72684361455749e-2,3.495996336922589e-2
"Shapes.hls/Input: ( double: 32.0) Optimise: True",0.934120491283126,0.9281289775540308,0.9404468114544827,3.156295101290589e-2,2.81903587300253e-2,3.612932147967241e-2
"Shapes.hls/Input: ( double: 64.0) Optimise: False",8.874445157783216,8.827767577903458,8.920926419036583,0.23945537978219547,0.21418532714349625,0.27022540019848146
"Shapes.hls/Input: ( double: 64.0) Optimise: True",4.117395568626113,4.093853171603866,4.142282129066173,0.12415063951921795,0.1111296247577181,0.14040243041051104
"Shapes.hls/Input: ( double: 128.0) Optimise: False",40.29208739592332,40.15416014029281,40.44307543112536,0.7380418786496304,0.6568876199141361,0.8427419736762504
"Shapes.hls/Input: ( double: 128.0) Optimise: True",18.11230465485353,18.03447541310091,18.196517127292342,0.4143223411529359,0.36170094007697434,0.476911576880403
"Shapes.hls/Input: ( double: 256.0) Optimise: False",